[00:00.000 --> 00:00.940]  Okay. [SPEAKER TURN]
                         
[00:00.940 --> 00:03.620]  Wonder how much of the meetings is talking about the stuff at the meetings. [SPEAKER TURN]
                         
[00:03.620 --> 00:05.420]  Yeah exactly yeah yeah yeah. [SPEAKER TURN]
                         
[00:05.420 --> 00:07.000]  No no no no they're, stuck. [SPEAKER TURN]
                         
[00:07.000 --> 00:07.700]  Welcome to start. [SPEAKER TURN]
                         
[00:08.500 --> 00:09.260]  Okay. [SPEAKER TURN]
                         
[00:09.500 --> 00:10.260]  Okay. [SPEAKER TURN]
                         
[00:11.800 --> 00:12.480]  Right. [SPEAKER TURN]
                         
[00:12.500 --> 00:20.000]  So shall we just go talk about it? Shall we just go around and everyone says what they what they've been doing. [SPEAKER TURN]
                         
[00:21.920 --> 00:23.280]  Not a lot. [SPEAKER TURN]
                         
[00:24.200 --> 00:25.100]  Well I'm sorry. [SPEAKER TURN]
                         
[00:25.760 --> 00:26.120]  Yeah. [SPEAKER TURN]
                         
[00:26.440 --> 00:28.000]  Okay. Sounds like you've done so. [SPEAKER TURN]
                         
[00:28.440 --> 00:29.440]  Sorry.
[00:30.000 --> 00:34.700]  Okay. Well I've got a browser now which whoops, I already know. [SPEAKER TURN]
                         
[00:35.460 --> 00:36.160]  What was that? [SPEAKER TURN]
                         
[00:36.280 --> 00:36.700]  Mm-hmm. [SPEAKER TURN]
                         
[00:38.000 --> 00:39.160]  Oh I dropped mine as well. [SPEAKER TURN]
                         
[00:41.480 --> 00:43.480]  Give it a minute. [SPEAKER TURN]
                         
[00:43.700 --> 00:45.080]  It's possibly a good start. [SPEAKER TURN]
                         
[00:48.260 --> 00:48.860]  Okay. [SPEAKER TURN]
                         
[00:49.380 --> 00:50.100]  So yeah. [SPEAKER TURN]
                         
[00:50.380 --> 01:06.720]  So yeah we've, got a browser we've um which comes up automatically with the transcription box and the topics. And then when you go on the menu you can select a summarisation box which pops up and an audio player. [SPEAKER TURN]
                         
[01:08.120 --> 01:08.560]  Right. [SPEAKER TURN]
                         
[01:08.760 --> 01:24.760]  Um and that's I think the search works as well. So you pop up a search and it loads up um just the background windows are empty and um so when you start you have to either open open a particular observation or do a search and open it through that. [SPEAKER TURN]
                         
[01:26.420 --> 01:27.080]  That makes sense? [SPEAKER TURN]
                         
[01:27.080 --> 01:28.020]  Mm-hmm. [SPEAKER TURN]
                         
[01:28.560 --> 01:43.940]  Um the transcription box has got a summarise bo button which doesn't do anything yet. Um now I wonder how we wanna do you know we wanna pop up window with a speaker characterisation. [SPEAKER TURN]
                         
[01:46.100 --> 01:46.780]  We can do it. [SPEAKER TURN]
                         
[01:46.920 --> 02:14.880]  Either we could do that you, know when does it pop up come? Either we can when you click on the the I.D. any sort of I.D. in the transcription box. Or we can put an extra button extra, few buttons next to a summarise button so that you actually in the transcription box but so that you click on a button and then it opens whatever that speaker characterisation is. The problem is the the left click is already used because it highlights that um [SPEAKER TURN]
                         
[02:14.880 --> 02:14.880]  Mm. [SPEAKER TURN]
                         
[02:16.580 --> 02:23.720]  that part speech or whatever that what he's been saying yeah, The left click highlights it. So that you can [SPEAKER TURN]
                         
[02:38.620 --> 02:39.740]  The left click. [SPEAKER TURN]
                         
