whisper_init_from_file_with_params_no_state: loading model from '/home/kozi/Documents/_onlab_git/ami/whisper.cpp/models/ggml-small.en-tdrz.bin'
whisper_init_with_params_no_state: use gpu    = 1
whisper_init_with_params_no_state: flash attn = 0
whisper_init_with_params_no_state: gpu_device = 0
whisper_init_with_params_no_state: dtw        = 0
whisper_model_load: loading model
whisper_model_load: n_vocab       = 51864
whisper_model_load: n_audio_ctx   = 1500
whisper_model_load: n_audio_state = 768
whisper_model_load: n_audio_head  = 12
whisper_model_load: n_audio_layer = 12
whisper_model_load: n_text_ctx    = 448
whisper_model_load: n_text_state  = 768
whisper_model_load: n_text_head   = 12
whisper_model_load: n_text_layer  = 12
whisper_model_load: n_mels        = 80
whisper_model_load: ftype         = 1
whisper_model_load: qntvr         = 0
whisper_model_load: type          = 3 (small)
whisper_model_load: adding 1608 extra tokens
whisper_model_load: n_langs       = 99
whisper_model_load:      CPU total size =   487.00 MB
whisper_model_load: model size    =  487.00 MB
whisper_init_state: kv self size  =   56.62 MB
whisper_init_state: kv cross size =   56.62 MB
whisper_init_state: kv pad  size  =    4.72 MB
whisper_init_state: compute buffer (conv)   =   22.54 MB
whisper_init_state: compute buffer (encode) =  280.20 MB
whisper_init_state: compute buffer (cross)  =    6.31 MB
whisper_init_state: compute buffer (decode) =   97.40 MB

system_info: n_threads = 4 / 4 | AVX = 1 | AVX2 = 1 | AVX512 = 0 | FMA = 1 | NEON = 0 | ARM_FMA = 0 | METAL = 0 | F16C = 1 | FP16_VA = 0 | WASM_SIMD = 0 | BLAS = 0 | SSE3 = 1 | SSSE3 = 1 | VSX = 0 | CUDA = 0 | COREML = 0 | OPENVINO = 0

main: processing '/home/kozi/Documents/_onlab_git/ami/ami_dataset/test/audio/Array1-01/EN2002a.Array1-01.wav' (34283350 samples, 2142.7 sec), 4 threads, 1 processors, 5 beams + best of 5, lang = en, task = transcribe, tdrz = 1, timestamps = 1 ...


[00:00:00.140 --> 00:00:03.660]   I wonder how much of the meetings is talking about the stuff at the meetings? [SPEAKER_TURN]
[00:00:03.660 --> 00:00:27.120]   Yeah exactly, yeah yeah, I know. Welcome start. Okay. So shall we should we just go around and everyone says what they what they've been doing, what what what I'm saying. Yeah, okay. [SPEAKER_TURN]
[00:00:27.120 --> 00:00:29.460]   Sorry.
[00:00:29.820 --> 00:00:34.680]   Okay. Well I've got a browser now which, whoops, I already know. [SPEAKER_TURN]
[00:00:34.680 --> 00:00:36.160]   What was that? [SPEAKER_TURN]
[00:00:36.160 --> 00:00:36.720]   Mm-hmm. [SPEAKER_TURN]
[00:00:36.720 --> 00:00:39.200]   Oh I dropped mine as well. [SPEAKER_TURN]
[00:00:39.200 --> 00:00:43.440]   Give it a s [SPEAKER_TURN]
[00:00:43.440 --> 00:00:45.060]   It's definitely a good start. [SPEAKER_TURN]
[00:00:45.060 --> 00:00:49.060]   Okay. [SPEAKER_TURN]
[00:00:49.060 --> 00:00:50.100]   So yeah. [SPEAKER_TURN]
[00:00:50.420 --> 00:01:06.780]   So yeah, we've got a browser we've um which comes up automatically with the transcription box and the topics. And then when you go on the menu you can select a summarisation box which pops up and an audio player. [SPEAKER_TURN]
[00:01:06.780 --> 00:01:08.600]   Right. [SPEAKER_TURN]
[00:01:08.780 --> 00:01:24.800]   Um and that's I think the search works as well, so you can pop up a search. And it loads up um just the background window, so empty and um so when you start you have to either open open a particular observation or do a search and open it through that.
[00:01:24.800 --> 00:01:27.140]   That makes sense?
[00:01:28.600 --> 00:01:43.960]   Um the transcription box has got a summarise bo button which doesn't do anything yet. Um now I wonder how we wanna do you know we wanna pop up window with a speaker characterisation. [SPEAKER_TURN]
[00:01:43.960 --> 00:01:46.800]   We can do it. [SPEAKER_TURN]
[00:01:46.960 --> 00:02:07.320]   Either we could do that, you know when does it pop up come, either we can when you click on the the I_D_ any sort of I_D_ in the transcription box or we can put an extra button extra few buttons and extra summarise button so that you actually in the transcription box but so that you click on a button and then it opens whatever that speaker characterisation is.
[00:02:07.320 --> 00:02:14.860]   The problem is the the left click is already used because it highlights that um
[00:02:16.620 --> 00:02:23.680]   that part speech or whatever that what he's been saying, yeah. The left click highlights it. So that you can [SPEAKER_TURN]
[00:02:23.680 --> 00:02:31.760]   I don't know what happened when you double click actually, will that be a bit annoying if you have left click for one thing and double click for something else? [SPEAKER_TURN]
[00:02:31.760 --> 00:02:32.880]   Mm-hmm. [SPEAKER_TURN]
[00:02:32.880 --> 00:02:40.700]   Um I think so yeah when you left click it you can for example set set the marker there so that the the audio goes from there I think.
[00:02:42.680 --> 00:02:56.760]   Um so we can't put it on left click. We could put it on a right click. We could for example have a little menu that pops up. So right click on it menu, you know and, you can click on speaker characterisation on it pops up in there. [SPEAKER_TURN]
[00:02:56.760 --> 00:02:59.880]   Menu. [SPEAKER_TURN]
[00:02:59.880 --> 00:03:03.200]   That's a good point. I don't know. [SPEAKER_TURN]
[00:03:03.200 --> 00:03:07.040]   Otherwise you just have a right click on it you, know. [SPEAKER_TURN]
[00:03:07.040 --> 00:03:12.440]   I don't know about you, but i usually in Windows you right click, doesn't do anything, doesn't it opens a menu. [SPEAKER_TURN]
[00:03:12.560 --> 00:03:18.260]   Yeah, so. Yeah. So but that'd be yeah, I think it'd just yeah. Yeah. [SPEAKER_TURN]
[00:03:18.260 --> 00:03:24.320]   Same sort of idiom throughout kind of thing. So yeah, mm-hmm. [SPEAKER_TURN]
[00:03:24.320 --> 00:03:26.680]   Um or just you know or just a button. [SPEAKER_TURN]
[00:03:26.680 --> 00:03:40.120]   I guess a but um button makes a bit more sense 'cause otherwise you don't really know that oh, what if I right click that, what happens then? It's like yeah, it's for sure. [SPEAKER_TURN]
[00:03:40.120 --> 00:03:52.600]   Yeah, the menu pop up that. Well oh yeah, it's more obvious isn't, it? Maybe it could do. Yeah. Yeah, that's true yeah, it's more and true. But well, yes. [SPEAKER_TURN]
[00:03:52.600 --> 00:04:10.100]   Yeah. [SPEAKER_TURN]
[00:04:10.160 --> 00:04:26.800]   Um but actually what we could do is on in that menu as well we could have an option that pops up a window with all the all the meetings that that user has been in. Like a search for that user. Is that gonna be useful or too much or? [SPEAKER_TURN]
[00:04:26.800 --> 00:04:30.800]   Mm-hmm. [SPEAKER_TURN]
[00:04:30.800 --> 00:04:39.200]   Yeah. So when you right click on it one one option will be give me all your meetings characterise the speaker.
[00:04:40.100 --> 00:04:40.500]   Yep. [SPEAKER_TURN]
[00:04:40.500 --> 00:05:03.620]   Or is that too much? I mean I don't know. I mean it's more like part of the browsing sort of thing more than the speaker characterisation I, think Steve mentioned. It's true, you know how it it it involved the speaker characters. It's true to be nice to have it in connect into connection. [SPEAKER_TURN]
[00:05:05.700 --> 00:05:18.180]   I think as well I mean speaker characterisation to connect into I don't know to just some way to sort of leverage that information. Like we have it, we're doing it, but what how does it help the browsing? Or what can it give us in the browsing? Yeah. [SPEAKER_TURN]
[00:05:18.180 --> 00:05:35.520]   It's like a nice thing. We don't we're not actually sure what the user wants for it, but it's interesting so, why not give it to him. I I think we should do it, I mean [SPEAKER_TURN]
